22.01,0.72,1.21,0.61
19.77,0.14,1.29,0.95
24.64,1.32,1.21,0.66
24.55,0.87,1.42,0.99
21.79,0.51,1.26,0.76
21.82,0.63,1.45,0.66
20.5,1.4,1.22,0.73
19.46,0.4,1.24,0.97
23.09,1.49,1.31,0.53
18.35,1.33,1.42,0.85
20.86,1.44,1.27,0.57
19.02,0.89,1.26,0.79
18.14,0.98,1.33,0.82
18.41,0.88,1.36,0.67
18.84,0.43,1.55,0.88
20.01,0.59,1.3,0.62
23.31,0.55,1.5,0.84
23.68,1.27,1.38,0.57
22.6,1.47,1.53,0.84
19.58,1.14,1.34,0.9
20.02,1.09,1.47,0.89
24,0.25,1.45,0.85
21.27,0.17,1.25,0.57
22.83,1.03,1.28,0.86
23.68,0.45,1.21,1.02
18.59,0.79,1.39,0.95
21.73,0.55,1.42,0.9
24.45,1.54,1.51,0.96
22.08,1.45,1.39,0.68
19.01,1.02,1.5,0.99
24.4,0.36,1.28,0.73
20.38,1.31,1.33,0.53
22.79,0.57,1.53,0.99
18.2,1.23,1.49,0.75
20.64,0.11,1.36,1.05
20.09,1.04,1.25,0.99
20.25,0.57,1.34,0.81
24.4,0.32,1.3,0.64
19.77,0.44,1.28,0.7
19.66,1.52,1.53,1.01
18.31,0.9,1.21,0.73
18.04,0.51,1.49,0.71
21.22,0.34,1.3,0.58
22.6,1.03,1.31,0.94
24.65,0.25,1.5,0.53
22.51,1.55,1.41,0.77
19.39,1.4,1.41,1.04
24.31,0.13,1.4,1
19.26,0.91,1.27,0.95
18.86,1.17,1.3,0.52
24.15,1.25,1.46,1
18.44,0.21,1.22,0.75
23.41,0.98,1.27,0.55
24.62,0.23,1.24,1.01
22.22,0.25,1.46,0.61
24.12,1.35,1.23,0.68
23.61,0.75,1.22,0.71
20.61,1.4,1.4,0.77
24.4,0.16,1.5,1.03
22.39,0.56,1.3,0.58
18.5,0.98,1.48,0.86
22.23,1.04,1.35,0.54
18.19,0.64,1.38,0.93
24.72,0.18,1.21,1.04
21.7,0.93,1.51,0.56
24.4,0.56,1.27,0.98
23.14,0.21,1.51,0.51
19.56,0.39,1.29,0.53
23.14,1.29,1.28,1.05
19.76,0.57,1.43,0.67
19.16,1.25,1.26,0.55
24.21,0.94,1.31,0.81
22.08,0.98,1.45,0.96
22.61,1.08,1.35,0.51
24.4,1.37,1.53,0.92
21.05,0.98,1.55,0.73
18.27,1.18,1.41,0.85
19.2,1.08,1.47,0.68
24.21,0.62,1.28,0.97
23.18,1.06,1.38,0.78
21.65,0.49,1.39,0.86
20.32,0.41,1.24,0.95
20.97,1.34,1.43,0.99
19.27,1.2,1.45,0.75
23.36,1.17,1.5,0.7
18.23,0.51,1.52,0.73
22.99,0.41,1.27,0.57
21,0.79,1.25,0.82
24.58,1.4,1.39,1.01
18.4,0.15,1.27,0.5
18.85,0.53,1.49,0.73
24.72,1,1.36,0.6
19.57,1.04,1.2,1.05
23.85,0.17,1.52,0.86
19.8,0.34,1.51,0.94
20.87,0.95,1.22,0.54
23.46,1.37,1.32,0.89
20.05,0.13,1.41,0.98
20.68,0.64,1.33,0.68
18.15,0.92,1.4,0.74
20,0.62,1.26,0.74
19.24,0.55,1.41,0.97
21.92,0.68,1.38,0.86
18.92,1.54,1.52,0.75
20.76,1.45,1.43,0.87
20.74,0.36,1.46,0.63
19.71,1.46,1.26,0.51
18.12,0.79,1.28,0.87
24.17,1.16,1.22,0.83
24.55,1.07,1.43,0.51
24.76,0.66,1.36,1.03
18.93,1.38,1.37,0.66
21.84,0.25,1.36,0.95
23.27,0.88,1.36,0.74
23.39,0.56,1.39,0.85
19.98,0.38,1.29,0.81
24.79,0.42,1.53,0.72
21.53,0.29,1.37,0.55
19.46,0.74,1.34,0.66
21.71,0.15,1.45,0.8
21.74,0.12,1.49,0.86
20.29,1.07,1.52,0.81
19.83,1.3,1.49,0.66
23.73,0.48,1.35,0.52
20.34,1,1.29,0.62
24.18,0.1,1.46,1.02
19.36,0.56,1.52,0.96
19.13,1.15,1.36,1.04
24.48,0.48,1.2,0.51
21.56,0.68,1.55,0.55
21.05,0.34,1.28,1.02
18.72,0.73,1.4,0.88
22.17,1.34,1.43,0.71
24.21,0.44,1.42,0.91
24.09,0.8,1.53,0.93
24.86,1.43,1.42,0.97
21.51,0.75,1.45,0.65
21.11,1.41,1.46,0.88
24.83,0.28,1.36,0.71
22.12,1.02,1.24,0.77
21.66,1.12,1.45,0.64
22.69,0.48,1.49,0.97
21.54,0.19,1.26,0.83
21.77,0.53,1.42,0.9
24.58,1.28,1.39,0.98
23.29,0.92,1.3,0.73
21.14,0.26,1.26,0.56
19.98,0.19,1.25,0.85
23.72,1.11,1.41,0.95
22.7,0.84,1.28,0.93
22.56,1.29,1.46,0.69
20.73,0.22,1.47,0.83
24.83,0.7,1.2,0.54
22.06,1.46,1.24,0.55
21.97,0.89,1.55,0.64
22.93,0.33,1.38,0.73
21.54,0.32,1.37,0.95
21.61,0.23,1.31,0.67
23.4,1.18,1.41,0.93
19.01,0.61,1.4,1.04
20.09,0.2,1.47,0.87
20.21,0.67,1.35,1.03
20.68,0.82,1.25,0.63
20.16,0.53,1.38,0.6
23.67,0.33,1.42,0.64
18.18,0.83,1.52,0.68
23.55,1.5,1.31,0.78
21.33,0.39,1.39,0.75
18.43,0.97,1.39,0.73
24.75,1.34,1.31,0.97
21.7,0.13,1.28,0.81
18.79,0.68,1.32,0.75
21.37,0.34,1.38,0.55
23.96,1.11,1.54,0.8
22.35,0.47,1.22,0.98
22.05,0.71,1.39,1.05
